batter,count_bucket,PA,AB,H,K,AVG,K%
A Gardner,0-0,1,1,1,0,1.0,0.0
A Gardner,Pitcher,2,2,1,1,0.5,0.5
D Benton,Hitter,2,1,1,0,1.0,0.0
D Benton,Pitcher,3,3,1,2,0.3333333333333333,0.6666666666666666
D Palmer,Hitter,4,2,2,0,1.0,0.0
D Palmer,Other,1,1,1,0,1.0,0.0
D Palmer,Pitcher,2,2,0,2,0.0,1.0
J Driver,0-0,1,1,1,0,1.0,0.0
J Driver,2K,1,1,0,1,0.0,1.0
J Driver,Hitter,2,2,2,0,1.0,0.0
J Driver,Pitcher,1,0,0,0,,0.0
J Duffield,2K,2,1,0,1,0.0,0.5
J Duffield,Hitter,1,0,0,0,,0.0
J Duffield,Other,1,1,1,0,1.0,0.0
J Duffield,Pitcher,2,2,0,2,0.0,1.0
J Fuentes,2K,3,2,0,2,0.0,0.6666666666666666
J Fuentes,Pitcher,2,2,1,1,0.5,0.5
L Collier,0-0,1,1,1,0,1.0,0.0
L Collier,2K,1,1,1,0,1.0,0.0
L Collier,Hitter,2,1,1,0,1.0,0.0
L Collier,Pitcher,2,2,0,2,0.0,1.0
M Brantley,Hitter,1,0,0,0,,0.0
M Brantley,Pitcher,2,2,0,2,0.0,1.0
R Johnston,2K,3,2,0,2,0.0,0.6666666666666666
R Johnston,Pitcher,4,4,1,3,0.25,0.75
W Dixon,Hitter,2,1,1,0,1.0,0.0
W Dixon,Other,1,1,1,0,1.0,0.0
W Dixon,Pitcher,1,1,0,1,0.0,1.0
