batter,PA,AB,H,XBH,BB,HBP,K,TB,Pitches,AVG,OBP,SLG,OPS,K%,P/PA,QAB%
A Gardner,3,3,2,0,0,0,1,2,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666
D Benton,5,4,2,1,1,0,2,4,21,0.5,0.6,1.0,1.6,0.4,4.2,0.6
D Palmer,7,5,3,0,2,0,2,3,28,0.6,0.7142857142857143,0.6,1.3142857142857143,0.2857142857142857,4.0,0.7142857142857143
J Driver,5,4,3,0,0,1,1,3,18,0.75,0.8,0.75,1.55,0.2,3.6,1.0
J Duffield,6,4,1,0,2,0,3,1,30,0.25,0.5,0.25,0.75,0.5,5.0,0.6666666666666666
J Fuentes,5,4,1,1,1,0,3,2,29,0.25,0.4,0.5,0.9,0.6,5.8,0.8
L Collier,6,5,3,1,1,0,2,4,30,0.6,0.6666666666666666,0.8,1.4666666666666668,0.3333333333333333,5.0,0.6666666666666666
M Brantley,3,2,0,0,1,0,2,0,15,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,5.0,0.3333333333333333
R Johnston,7,6,1,0,1,0,5,1,37,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233,0.7142857142857143,5.285714285714286,0.7142857142857143
W Dixon,4,3,2,1,1,0,1,5,16,0.6666666666666666,0.75,1.6666666666666667,2.416666666666667,0.25,4.0,0.75
