batter,Pitches,Swings,Whiffs,Contacts,TwoStrikeSwings,FirstPitchSwings,FirstPitches,FirstPitchStrikes,Swing%,Whiff%,Contact%,1stPitchSwing%,1stPitchStrike%,FirstPitchInPlay,FirstPitches2,1stPitchInPlay%,2K_Swing%,2K_Whiff%,2K_Contact%
A Gardner,29,9,4,5,0,3,7,6,0.3103448275862069,0.4444444444444444,0.5555555555555556,0.42857142857142855,0.8571428571428571,1,7,0.14285714285714285,0.4,1.0,0.0
D Benton,61,25,9,16,0,1,13,3,0.4098360655737705,0.36,0.64,0.07692307692307693,0.23076923076923078,0,13,0.0,0.5625,0.2222222222222222,0.7777777777777778
D Palmer,61,16,0,16,0,2,14,6,0.26229508196721313,0.0,1.0,0.14285714285714285,0.42857142857142855,1,14,0.07142857142857142,0.3333333333333333,0.0,1.0
E Mason,19,3,1,2,0,1,4,1,0.15789473684210525,0.3333333333333333,0.6666666666666666,0.25,0.25,1,4,0.25,0.25,1.0,0.0
J Driver,40,16,4,12,0,3,9,4,0.4,0.25,0.75,0.3333333333333333,0.4444444444444444,1,9,0.1111111111111111,0.5555555555555556,0.2,0.8
J Duffield,62,8,4,4,0,1,13,6,0.12903225806451613,0.5,0.5,0.07692307692307693,0.46153846153846156,0,13,0.0,0.0625,1.0,0.0
J Fuentes,29,9,5,4,0,1,5,1,0.3103448275862069,0.5555555555555556,0.4444444444444444,0.2,0.2,0,5,0.0,0.2727272727272727,0.6666666666666666,0.3333333333333333
L Collier,55,17,4,13,0,3,11,4,0.3090909090909091,0.23529411764705882,0.7647058823529411,0.2727272727272727,0.36363636363636365,1,11,0.09090909090909091,0.4375,0.42857142857142855,0.5714285714285714
M Brantley,15,4,2,2,0,0,3,2,0.26666666666666666,0.5,0.5,0.0,0.6666666666666666,0,3,0.0,0.5,1.0,0.0
R Johnston,52,16,7,9,0,1,10,2,0.3076923076923077,0.4375,0.5625,0.1,0.2,0,10,0.0,0.4444444444444444,0.375,0.625
W Dixon,49,12,5,7,0,1,11,3,0.24489795918367346,0.4166666666666667,0.5833333333333334,0.09090909090909091,0.2727272727272727,0,11,0.0,0.6666666666666666,0.75,0.25
